class_name,method_name,field_or_enum,probable_role,new_contract_or_class,confidence
Unknown,AddResourceToBuildingAction,Unknown,Found in metadata,ResourceSystem,MEDIUM
Unknown,RenderGraphResourcePool,Unknown,Found in metadata,ResourceSystem,MEDIUM
Unknown,s_Resources,Unknown,Found in metadata,ResourcesSystem,MEDIUM
Unknown,GetMessageFromNativeResources,Unknown,Found in metadata,ResourcesSystem,MEDIUM
Unknown,ShowBuildingDetails,Unknown,Found in metadata,BuildingSystem,MEDIUM
Unknown,AddResourceForProductionBuilding,Unknown,Found in metadata,BuildingSystem,MEDIUM
Unknown,BuildPurchases,Unknown,Found in metadata,BuildSystem,MEDIUM
Unknown,ShowBuildingDetails,Unknown,Found in metadata,BuildSystem,MEDIUM
Unknown,openVillagers,Unknown,Found in metadata,VillagerSystem,MEDIUM
Unknown,OpenVillagers,Unknown,Found in metadata,VillagerSystem,MEDIUM
Unknown,GetWorkersDataForDungeon,Unknown,Found in metadata,WorkerSystem,MEDIUM
Unknown,OnAddWorkerClick,Unknown,Found in metadata,WorkerSystem,MEDIUM
Unknown,CreateTask,Unknown,Found in metadata,TaskSystem,MEDIUM
Unknown,TaskFactory,Unknown,Found in metadata,TaskSystem,MEDIUM
Unknown,TScheduleBatchedScriptingJobsAndIsCompleted,Unknown,Found in metadata,JobSystem,MEDIUM
Unknown,CreateJob,Unknown,Found in metadata,JobSystem,MEDIUM
Unknown,XsdKatmaiDateTimeOffsetToString,Unknown,Found in metadata,TimeSystem,MEDIUM
Unknown,ReadAsDateTimeOffset,Unknown,Found in metadata,TimeSystem,MEDIUM
Unknown,AddDays,Unknown,Found in metadata,DaySystem,MEDIUM
Unknown,GetDay,Unknown,Found in metadata,DaySystem,MEDIUM
Unknown,emissionNight,Unknown,Found in metadata,NightSystem,MEDIUM
Unknown,rightmidimidnightbluemifmillisecondmillisecondsDelaymillisecondsTimeoutmimeminmin,Unknown,Found in metadata,NightSystem,MEDIUM
Unknown,SaveTraceToException,Unknown,Found in metadata,SaveSystem,MEDIUM
Unknown,hasSaveFile,Unknown,Found in metadata,SaveSystem,MEDIUM
Unknown,LOAD_BITMAP_METRICS_ONLY,Unknown,Found in metadata,LoadSystem,MEDIUM
Unknown,isUploaded,Unknown,Found in metadata,LoadSystem,MEDIUM
Unknown,inventoryData,Unknown,Found in metadata,InventorySystem,MEDIUM
Unknown,AgentInventory,Unknown,Found in metadata,InventorySystem,MEDIUM
Unknown,DropItem,Unknown,Found in metadata,ItemSystem,MEDIUM
Unknown,SetItem,Unknown,Found in metadata,ItemSystem,MEDIUM
Unknown,We_need_more_food,Unknown,Found in metadata,FoodSystem,MEDIUM
Unknown,This_looks_like_a_nice_village_I_will_work_for_food,Unknown,Found in metadata,FoodSystem,MEDIUM
Unknown,woodenShip,Unknown,Found in metadata,WoodSystem,MEDIUM
Unknown,WoodCeiling,Unknown,Found in metadata,WoodSystem,MEDIUM
Unknown,ValidateCoalesceArgTypes,Unknown,Found in metadata,CoalSystem,MEDIUM
Unknown,get_CoalesceUsedOnNonNullType,Unknown,Found in metadata,CoalSystem,MEDIUM
Unknown,IEnvironments,Unknown,Found in metadata,IronSystem,MEDIUM
Unknown,x__0_0x00__ADDITIONAL_LIGHTS_ADDITIONAL_LIGHTS_VERTEX_ADDITIONAL_LIGHT_SHADOWS_AOColor_AOParams_AOTex_AccumOrig_AdaptParams_AdaptTex_AdaptionSpeed_AdditionalLightsAttenuation_AdditionalLightsBuffer_AdditionalLightsColor_AdditionalLightsCookieAtlasTexture_AdditionalLightsCookieAtlasTextureFormat_AdditionalLightsCookieAtlasUVRectBuffer_AdditionalLightsCookieAtlasUVRects_AdditionalLightsCookieEnableBits_AdditionalLightsCount_AdditionalLightsIndices_AdditionalLightsLayerMasks_AdditionalLightsLightTypeBuffer_AdditionalLightsLightTypes_AdditionalLightsOcclusionProbes_AdditionalLightsPosition_AdditionalLightsShadowmapTexture_AdditionalLightsSpotDir_AdditionalLightsWorldToLightBuffer_AdditionalLightsWorldToLights_AdditionalLightsWorldToShadow_AdditionalLightsWorldToShadow_SSBO_AdditionalShadowFadeParams_AdditionalShadowOffset0_AdditionalShadowOffset1_AdditionalShadowParams_AdditionalShadowParams_SSBO_AdditionalShadowmapSize_AfterPostProcessTexture_Alpha_AlphaToMaskAvailable_AmbientOcclusionParam_Angle_ArScale_AreaTex_AreaTexture_AutoExposureTex_AxialAberration_Axis_BLOOM_HQ_BLOOM_HQ_DIRT_BLOOM_LQ_BLOOM_LQ_DIRT_BLUE_NOISE_Bevel_BlendTex_BlendTexture_BlitCubeTexture_BlitDecodeInstructions_BlitMipLevel_BlitPaddingSize_BlitScaleBias_BlitScaleBiasRt_BlitTexture_BlitTextureSize_Bloom_BloomMipDown_BloomMipUp_BloomTex_Bloom_Color_Bloom_DirtTex_Bloom_DirtTileOffset_Bloom_Params_Bloom_RGBM_Bloom_Settings_Bloom_Texture_BlueNoiseTexture_BlueNoise_Texture_Blur_BlurArea_BlurDirectionPacked_BlurDistance_BlurFilterDistance_BlurRadius_BlurSize_Blurred_BlurredColor_BokehConstants_BokehKernel_BokehParams_Brightness_BypassList_BypassOnLocal_CASTING_PUNCTUAL_LIGHT_SHADOW_CHROMATIC_ABERRATION_CameraColorAttachment_CameraColorTexture_CameraDepthAttachment_CameraDepthAttachment_Temp_CameraDepthTexture_CameraNormalsTexture_CameraOpaqueTexture_CameraRenderingLayersTexture_CameraSortingLayerTexture_CameraTargetAttachment_CameraViewProjections_CameraViewTopLeftCorner_CameraViewXExtent_CameraViewYExtent_CameraViewZExtent_CameraWS_CascadeShadowSplitSphereRadii_CascadeShadowSplitSpheres0_CascadeShadowSplitSpheres1_CascadeShadowSplitSpheres2_CascadeShadowSplitSpheres3_CautionColor_CautionThreshold_CenterRadius_ChannelMixerBlue_ChannelMixerGreen_ChannelMixerRed_Chroma_Params_ChromaticAberration_ChromaticAberration_Amount_ChromaticAberration_SpectralLut_ChunkList_Clamp_ClearStencilReadMask_ClearStencilRef_ClearStencilWriteMask_ClipRect_ClipRects_Clouds_ClutTex_CoCParams_CoCTex_CodeBase_Color_ColorBalance_ColorBuffer_ColorConversion_ColorFilter_ColorIntensity_ColorMask_ColorTexture_ColorTransform_Column_CookieLightIndex_CookieTex_CosTime_CriticalColor_Cube_CullDistance_CullMode_CultureInfo_CurTex_Curve_CurveBlue_CurveGreen_CurveHueVsHue_CurveHueVsSat_CurveLumVsSat_CurveMaster_CurveParams_CurveRed_CurveSatVsSat_Curves_CustomToneCurve_DBUFFER_MRT1_DBUFFER_MRT2_DBUFFER_MRT3_DBufferTexture0_DBufferTexture1_DBufferTexture2_DBufferTexture3_DEBUG_ENVIRONMENTREFLECTIONS_OFF_DECAL_LAYERS_DECAL_NORMAL_BLEND_HIGH_DECAL_NORMAL_BLEND_LOW_DECAL_NORMAL_BLEND_MEDIUM_DEFERRED_FIRST_LIGHT_DEFERRED_MAIN_LIGHT_DEFERRED_MIXED_LIGHTING_DEPTH_MSAA_2_DEPTH_MSAA_4_DEPTH_MSAA_8_DIRECTIONAL_DISTORTION_DITHERING_DX11NoiseTime_DebugColor_DebugColorInvalidMode_DebugFullScreenMode_DebugHDRMode_DebugLightingFeatureFlags_DebugLightingMode_DebugMaterialMode_DebugMaterialValidationMode_DebugMaxPixelCost_DebugMipInfoMode_DebugRenderTargetSupportsStereo_DebugSceneOverrideMode_DebugScreenColor_DebugScreenDepth_DebugTexture_DebugTextureDisplayRect_DebugTextureNoStereo_DebugValidateAboveMaxThresholdColor_DebugValidateAlbedoCompareColor_DebugValidateAlbedoHueTolerance_DebugValidateAlbedoMaxLuminance_DebugValidateAlbedoMinLuminance_DebugValidateAlbedoSaturationTolerance_DebugValidateBelowMinThresholdColor_DebugValidateMetallicMaxValue_DebugValidateMetallicMinValue_DebugValidationMode_DebugVertexAttributeMode_DecalLayerMaskFromDecal_DepthOfFieldTemp_DepthOfFieldTex_DepthSlice_Destination_DimensionsAndLerp_DisplayVelocityScale_Distance_DistanceParams_Distortion_Amount_Distortion_CenterScale_Distortion_Params1_Distortion_Params2_DitheringTex_DitheringTexture_DitheringTextureInvSize_Dithering_Coords_Dithering_Params_DofTexture_DownSampleScaleFactor_DrawObjectPassData_DrawOrder_DstBlend_EASU_RCAS_AND_HDR_INPUT_EdgeColorTexture_EdgeSharpness_EdgeStencilTexture_EdgeTexture_EdgeThreshold_EdgeThresholdMin_EmptyAdditionalLightShadowmapTexture_EmptyMainLightShadowmapTexture_EnvMatrix_EnvMatrixRotation_ExposureAdjustment_ExposureCompensation_FILM_GRAIN_FORWARD_PLUS_FOVEATED_RENDERING_NON_UNIFORM_RASTER_FPParams0_FPParams1_FPParams2_FXAA_FXAA_AND_GAMMA_20_FaceColor_FaceDilate_FaceShininess_FaceTex_FalloffDistance_FalloffIntensity_FalloffLookup_FarCorner_FgCocMask_FgOverlap_FinalBlendParameters_Flags_FlareColorValue_FlareData0_FlareData1_FlareData2_FlareData3_FlareData4_FlareData5_FlareOcclusionIndex_FlareOcclusionRemapTex_FlareOcclusionTex_FlareTex_Float4_Fog_FogColor_FogParams_ForegroundBlurExtrude_From_FrustumCornersWS_FsrEasuConstants0_FsrEasuConstants1_FsrEasuConstants2_FsrEasuConstants3_FsrRcasConstants_FullCoCTexture_FullscreenPassColorCopy_FullscreenProjMat_GAMMA_20_GBUFFER_NORMALS_OCT_GBuffer0_GBuffer1_GBuffer2_GBuffer3_GBuffer4_GBuffer5_GBuffer6_GENERIC_Gain_Gamma_GlobalMipBias_GlossyEnvironmentColor_GlossyEnvironmentCubeMap_GlossyEnvironmentCubeMap_HDR_GlowColor_GlowInner_GlowOffset_GlowOuter_GlowPower_GoodColor_GoodThreshold_GradientScale_GradientSettingsTex_GrainTex_Grain_Params_Grain_Params1_Grain_Params2_Grain_Texture_Grain_TilingParams_GrassLevel_GrassScale_HDRColorspace_HDRDebugDummyRT_HDRDebugParams_HDREmulationScale_HDREncoding_HDROutputGradingParams_HDROutputLuminanceParams_HDR_GRADING_HIGH_QUALITY_SAMPLING_HalfCoCTexture_HalfResFinalCopy_HandleZTest_HashAlgorithm_HashAlgorithmForControl_HashForControl_HdrParams_HeightParams_Highlights_HistogramBuffer_History_HistoryTex_HrDepthTex_HueSatCon_INTERLEAVED_GRADIENT_Id_IndexInAtlas_InnerAngleMult_InnerRadiusMult_InputDepthTexture_Intensity_InternalGradingLut_InternalLut_Interp_InvGamma_InvRenderTargetSize_InvViewProj_InverseHDREmulationScale_InverseViewMatrix_IsFullSpotlight_IsoPerimeter_Jitter_KawaseBlurIteration_LIGHT_COOKIES_LIGHT_LAYERS_LINEAR_TO_SRGB_CONVERSION_LastKawasePass_LensCoeff_LensDirt_Intensity_LensDirt_Params_LensDirt_Texture_Level_Level2_Lift_LightAngle_LightAttenuation_LightColor_LightDirection_LightFlags_LightInvMatrix_LightLayerMask_LightLookup_LightOcclusionProbInfo_LightPos_LightPosWS_LightPosition_LightTexture_,Unknown,Found in metadata,IronSystem,MEDIUM
Unknown,sizepageNumberpageToDisplaypalegoldenrodpalegreenpaleovu,Unknown,Found in metadata,GoldSystem,MEDIUM
Unknown,GoldRose,Unknown,Found in metadata,GoldSystem,MEDIUM
Unknown,enemyType,Unknown,Found in metadata,EnemySystem,MEDIUM
Unknown,SetEnemyDataDirty,Unknown,Found in metadata,EnemySystem,MEDIUM
Unknown,s_ActiveCameraId,Unknown,Found in metadata,RaidSystem,MEDIUM
Unknown,OrcRaider,Unknown,Found in metadata,RaidSystem,MEDIUM
Unknown,VALIANT_EXPLORER,Unknown,Found in metadata,ExploreSystem,MEDIUM
Unknown,dungeonExploredTimes,Unknown,Found in metadata,ExploreSystem,MEDIUM
Unknown,expeditionPanel,Unknown,Found in metadata,ExpeditionSystem,MEDIUM
Unknown,expeditionstart,Unknown,Found in metadata,ExpeditionSystem,MEDIUM
Unknown,LOAD_BITMAP_METRICS_ONLY,Unknown,Found in metadata,MapSystem,MEDIUM
Unknown,CubemapFace,Unknown,Found in metadata,MapSystem,MEDIUM
Unknown,GetSceneManager,Unknown,Found in metadata,SceneSystem,MEDIUM
Unknown,FinalCutscene,Unknown,Found in metadata,SceneSystem,MEDIUM
Unknown,OnContextualMenuEvent,Unknown,Found in metadata,MenuSystem,MEDIUM
Unknown,headerContextMenuPopulateEvent,Unknown,Found in metadata,MenuSystem,MEDIUM
Unknown,HAudioPlayableGraphExtensionsBindingsU,Unknown,Found in metadata,AudioSystem,MEDIUM
Unknown,AudioTextUpdateRate,Unknown,Found in metadata,AudioSystem,MEDIUM
Unknown,ToFMODThreadAffinity,Unknown,Found in metadata,FMODSystem,MEDIUM
Unknown,FMOD_Studio_System_StartCommandCapture,Unknown,Found in metadata,FMODSystem,MEDIUM
Unknown,IAPSecurityException,Unknown,Found in metadata,IAPSystem,MEDIUM
Unknown,IAppleStoreExtendedPurchaseService,Unknown,Found in metadata,IAPSystem,MEDIUM
Unknown,ThreadHelper,Unknown,Found in metadata,AdSystem,MEDIUM
Unknown,JCleverAdsSolutions,Unknown,Found in metadata,AdSystem,MEDIUM
Unknown,FirebaseInit,Unknown,Found in metadata,FirebaseSystem,MEDIUM
